college_name,Cluster,branch_name,Category ,cutoff_2022_R1,cutoff_2022_R2,cutoff_2022_R3,cutoff_2023_R1,cutoff_2023_R2,cutoff_2023_R3,cutoff_2024_R1,cutoff_2024_R2,cutoff_2024_R3,cutoff_2025_R1,cutoff_2025_R2,cutoff_2025_R3
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,1G,3258,3258,3258,6874,6874,6874,8775,8775,8775,6385,10045,10045
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,1K,--,--,--,79980,84957,84957,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,1R,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2AG,3048,4673,17397,4401,4561,11791,5664,6380,6380,5027,5027,8662
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2AR,17397,17397,17784,13993,13993,13993,6852,9392,9392,6131,14155,14155
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2BG,5856,6506,43886,4912,15163,15163,6919,6919,6919,8805,8805,8805
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,2BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3AG,2440,2932,2932,5745,5745,5745,2444,6229,8581,2268,2268,2268
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3BG,5134,5134,21733,3452,5913,5913,5981,9105,9105,2845,2845,2845
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3BK,15520,15520,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,3BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,GM,2153,2205,2901,2507,4078,4868,1809,3752,3824,1932,2038,2069
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,GMK,--,--,--,--,--,--,10915,18477,18477,7639,7639,7639
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,GMR,9431,11807,15316,6789,11414,13570,4122,6852,6852,5671,8438,11397
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,SCG,15879,22164,35551,19009,24839,24839,--,--,--,10585,17682,17682
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,SCR,41566,41566,57962,56396,78663,78663,60164,60164,60164,33044,33044,65205
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,STG,--,--,--,36229,36229,36229,17281,17281,17281,16051,16051,16051
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Mechanical Cluster,Aero Space Engineering,STR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,1G,6727,19322,52303,6349,10888,--,19438,25508,25508,6268,10788,24306
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,1K,29211,29211,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,1R,67846,67846,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2AG,7044,16911,34637,6753,13000,30927,12939,23528,23528,7800,8643,17646
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2AK,--,--,--,--,--,--,23528,52660,94377,30772,32460,32460
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2AR,--,--,--,--,--,--,32662,75976,160753,25273,25273,25273
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2BG,--,--,--,13583,13583,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,2BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3AG,7399,7399,31357,10210,10210,17117,8563,8563,12521,10684,10684,10684
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3BG,5296,6790,30729,12553,12553,--,12721,14575,14575,7388,11282,11282
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,3BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,GM,4914,6727,11373,3327,6753,13000,5881,7376,8563,3963,6814,6814
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,GMK,--,--,--,24887,24887,24887,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,GMR,9268,17735,62523,12904,27743,30408,13770,13770,13770,10770,16571,16571
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,SCG,13054,31387,45051,22608,22608,22608,44128,61329,95721,30756,30756,33768
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,SCR,--,--,--,--,--,--,61454,71685,180923,54935,54935,54935
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,STG,13512,13512,66405,6140,115724,147804,45191,45191,45191,35420,76868,76868
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,BIO-TECHNOLOGY,STR,29891,66405,88164,172748,172748,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,1G,14432,14432,34641,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,1K,--,--,--,--,--,--,43342,210249,210249,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,1R,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2AG,18708,19411,75293,17230,17358,17358,16779,17011,22267,11453,16116.5,24164
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2BG,--,--,--,30330,30330,30330,30556,43596,43596,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,2BR,--,--,--,--,--,--,43596,88516,168700,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3AG,--,--,--,19987,19987,19987,12855,17328,27081,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3AK,80641,80641,80641,--,--,--,--,--,--,48576,48576,48576
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3AR,--,--,--,32880,32880,32880,--,--,--,12727,12727,12727
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3BG,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,3BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,GM,9725,10327,14432,9856,12821,14949,8603,13690,13853,5906,8209,11049
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,GMK,--,--,--,30808,30808,30808,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,GMR,18086,18086,18354,20760,20760,20760,11727,28478,28478,11745,11745,11745
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,SCG,34522,34522,34522,58987,58987,58987,24059,24059,24059,44081,44081,44081
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,SCR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,STG,27307,27307,107125,115802,134627,--,36539,65444,65444,27247,56440,56440
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Other Cluster,CHEMICAL ENGINEERING,STR,106591,89563,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,1G,28556,35842,53572,25967,26694,26694,27080,41722,58994,15934.5,25654,25654
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,1K,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,1R,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2AG,35882,41603,96992,28433,28433,31724,23186,37759,36174,18239,19040,31362
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2AK,67894,67894,130282,--,--,--,--,--,--,45094,79729,79729
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2AR,38796,55897,131523,38205,38205,38205,34312,53256,53256,34073,42996,42996
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2BG,36918,49705,50728,20700,20700,20700,12999,20085,86550,19147,19147,36554
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,2BR,53493,53493,90872,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3AG,22092,27013,50321,--,--,--,--,--,--,9889,10832,21896
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3AR,--,--,121928,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3BG,31098,34548,74864,19240,19240,19240,17427,17427,17427,16721,19501,19501
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3BK,--,--,--,38667,38667,38667,49255,49255,49255,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,3BR,34548,39769,148305,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,GM,20624,26523,34548,17630,18500,18609,11408,15239,16279,9539,10754,10832
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,GMK,27388,30827,37383,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,GMR,22969,37383,71798,30465,30465,30465,26756,27460,27460,21085,25157,40611
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,SCG,47091,47249,110861,35311,46652,46652,34913,34913,34913,23961,34229,34229
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,SCK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,SCR,47249,70042,--,65095,111106,--,42558,42558,42558,27105,43116,43116
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,STG,25605,27800,39555,32690,32690,32690,61968,61968,61968,10251,42919,42919
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Civil Cluster,CIVIL ENGINEERING,STR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1G,1191,2007,4153,874,874,3358,1387,1856,1856,1637,2342,2342
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1K,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),1R,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2AG,1310,1715,2184,1876,2269,2269,1348,2085,2287,1398,1617,1617
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2AK,--,--,--,4303,4303,4303,--,--,--,2669,2669,2669
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2AR,6568,6568,6568,2190,3449,--,1802,2556,2556,1617,2249,2249
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2BG,2928,4512,7934,1169,1169,1169,2133,2177,2177,2350,2657,3270
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),2BR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3AG,950,950,1919,1213,1213,1213,716,1640,1640,787,1031,1031
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3AK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3AR,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3BG,1051,1128,3743,1107,1144,1468,1098,1437,1518,949,1275,1305
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3BK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),3BR,--,--,--,2161,2795,2795,1780,2313,2313,1195,1305,1331
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GM,336,580,1261,558,660,1143,530,738,888,429,676,742
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GMK,1408,1408,1408,3175,3175,3175,2072,2072,2441,2043,2043,2043
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GMR,1011,1308,4126,1008,2190,2190,1344,1808,2085,1123,1195,1195
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SCG,6104,9716,9716,10767,11988,11742,8163,9060,9060,5918.5,7823,7874
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SCK,--,--,--,--,--,--,9060,22097,22097,13399,13399,13399
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SCR,9716,18500,57731,11742,13967,13967,9040,19186,19186,10042,10042,16164.5
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),STG,--,--,--,11558,11828,11268,10999,12978,12978,7579,7832,7862
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),STK,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),STR,--,--,--,22763,22763,22763,12387,21709,21709,8934,11936,11936
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,1G,782,923,964,658,749,749,636,1177,2410,514,2013,2013
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,1K,--,--,--,--,--,--,--,--,--,--,--,--
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,1R,1283,1283,1283,1226,1226,1226,3282,4288,4288,1088,2620,2620
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,2AG,823,903,1682,873,1092,1092,938,1348,1421,985,1398,1726
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,2AK,1162,1162,9613,1659,1672,1672,3982,3982,3982,1462,1462,5067
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,2AR,1684,1739,4393,1235,1429,1429,1009,1806,1806,1573,1788,2126
R. V. College of Engineering,Computer Science Cluster,COMPUTER SCIENCE AND ENGINEERING,2BG,530,1174,3226,1100,1100,1100,1068,1201,1201,1720,1847,2171
